danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,229320,4
0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,229320,4
0.863,0.673,4,-6.576,0,0.1,0.258,0.00271,0.0745,0.821,115.952,237053,4
0.863,0.673,4,-6.576,0,0.1,0.258,0.00271,0.0745,0.821,115.952,237053,4
0.39,0.967,10,-1.946,1,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,188840,4
0.39,0.967,10,-1.946,1,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,188840,4
0.39,0.967,10,-1.946,1,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,188840,4
0.39,0.967,10,-1.946,1,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,188840,4
0.362,0.544,7,-6.664,1,0.0481,0.00482,0.118,0.0904,0.191,97.448,223040,3
0.362,0.544,7,-6.664,1,0.0481,0.00482,0.118,0.0904,0.191,97.448,223040,3
0.61,0.0967,8,-14.728,1,0.0423,0.948,5.45e-06,0.148,0.202,111.559,198133,4
