playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
Eternelle,Édith Piaf,"Non, je ne regrette rien",spotify:track:3dkIE8P7hvl3tHl9KSb6dA,HOmeWorK BANgers
Everything All The Time,Band of Horses,The Funeral,spotify:track:5lRzWDEe7UuedU2QPsFg0K,Missing Her
Everything All The Time,Band of Horses,The Funeral,spotify:track:5lRzWDEe7UuedU2QPsFg0K,Perfect Playlist Pt 2
Everything All The Time,Band of Horses,The Funeral,spotify:track:5lRzWDEe7UuedU2QPsFg0K,The Knew
Evolve,Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,The Knew
Fallen,Evanescence,Bring Me To Life,spotify:track:0COqiPhxzoWICwFCS4eZcp,I Will Survive
Fallen,Evanescence,Bring Me To Life,spotify:track:0COqiPhxzoWICwFCS4eZcp,Missing Her
Fallen,Evanescence,Everybody's Fool,spotify:track:0tWEB6BxbI48XN79QE1JbT,I Will Survive
Fallen,Evanescence,Going Under,spotify:track:3UygY7qW2cvG9Llkay6i1i,I Will Survive
Fallen,Evanescence,My Immortal,spotify:track:4UzVcXufOhGUwF56HT7b8M,I Will Survive
Fallen,Evanescence,My Immortal,spotify:track:4UzVcXufOhGUwF56HT7b8M,Missing Her
Fallen,Evanescence,Whisper,spotify:track:1TU3KOnNwSERgNbF2Yzl7N,I Will Survive
Fallen,Evanescence,Whisper,spotify:track:1TU3KOnNwSERgNbF2Yzl7N,Missing Her
Fallen Kingdom Remix,Tryhardninja,Fallen Kingdom (Approaching Nirvana Remix),spotify:track:2Lh5QSUyAMsun7ueSar2sL,HOmeWorK BANgers
Fashion Nugget,CAKE,I Will Survive,spotify:track:0qgiFuYhYuwtFXEwYakddE,Perfect Playlist Pt 2
Fashion Nugget,CAKE,The Distance,spotify:track:0fsz7tJ7UKXT9hliLfO7aE,Missing Her
Fashion Nugget,CAKE,The Distance,spotify:track:0xMEF2WiqKWTIG7Krjungw,I Will Survive
Fashion Nugget,CAKE,The Distance,spotify:track:0xMEF2WiqKWTIG7Krjungw,Rock Paper Scissors
Fast Cars and Movie Stars,Stolen Gin,Fast Cars and Movie Stars,spotify:track:0W1jn6VlozBWM3p0P0hUju,The Knew
Feeding the Lions EP,Proleter,Can't Stop Me,spotify:track:0Ff3LWisIPIlRegEKr1fKx,Perfect Playlist Pt 2
Feeding the Lions EP,Proleter,It Don't Mean a Thing,spotify:track:06SN95lC2QIwGchwTSQNY6,Missing Her
Feral Roots,Rival Sons,Do Your Worst,spotify:track:1ZDq0oRT40CkuADdE4Jvrq,The Knew
Folie à Deux,Fall Out Boy,I Don't Care - Single Version,spotify:track:7ewT0nLFkMD8ONbRibePr9,Rock Paper Scissors
Fort Atlantic,Fort Atlantic,Let Your Heart Hold Fast,spotify:track:0umRfhrhFEz9jkEMTrUSkQ,Perfect Playlist Pt 2
Fort Atlantic,Fort Atlantic,Let Your Heart Hold Fast,spotify:track:0umRfhrhFEz9jkEMTrUSkQ,The Knew
Foundations,The Architect,Les pensées,spotify:track:0fira69E5qwYJNSvzEOCs7,Missing Her
Franz Ferdinand,Franz Ferdinand,Take Me Out,spotify:track:20I8RduZC2PWMWTDCZuuAN,I Will Survive
Franz Ferdinand,Franz Ferdinand,Take Me Out,spotify:track:20I8RduZC2PWMWTDCZuuAN,Perfect Playlist Pt 2
